Donor_ID	Num_Total_Samples	Num_Unusable_Samples	Overall_Mean_Exp_Level	Mean_Exp_Level_List
111CU	19	0	59.0838480367	
111FC	14	0	53.7887634441	
111VG	11	0	55.6498522324	
111YS	25	0	61.7230778009	
1122O	24	0	61.2008993664	
1128S	14	0	60.4149189266	
113IC	5	0	59.2859728036	
117YX	23	0	60.4309794066	
11DXW	12	0	54.7090175014	
11DXX	28	0	62.1098983621	
11DZ1	10	0	52.6469625865	
11EI6	16	0	53.303593531	
11EM3	24	0	60.6859626713	
11EMC	22	0	61.1899104285	
11EQ8	9	0	66.1958910493	
11EQ9	26	0	63.4190641427	
11GS4	20	0	63.3493404377	
11GSO	12	0	65.9601665859	
11H98	9	0	55.7816935358	
11I78	24	0	59.6800269762	
11LCK	22	0	58.3553169432	
11O72	21	0	58.5657871894	
11OF3	23	0	63.1269531772	
11ONC	22	0	65.9960100725	
11P7K	25	0	59.6995174015	
11P81	24	0	56.977947467	
11P82	19	0	61.7283704491	
11PRG	12	0	65.4678381602	
11TTK	12	0	67.706874016	
11TUW	19	0	55.0161782891	
11UD1	8	0	60.5855937759	
11UD2	13	0	62.1085352391	
11WQC	18	0	57.2006561856	
11XUK	17	0	65.6629925644	
11ZTS	24	0	59.9115439828	
11ZTT	17	0	63.257931306	
11ZU8	9	0	55.7721279663	
11ZUS	24	0	57.6413205842	
11ZVC	17	0	59.1385479953	
1211K	25	0	61.5427505649	
12126	14	0	61.5198889413	
1212Z	20	0	64.0355271347	
12584	14	0	69.3588675259	
12696	25	0	57.4503501418	
1269C	12	0	69.9023222631	
12C56	17	0	65.5153214633	
12KS4	14	0	170.498568704	
12WSA	16	0	68.6953971054	
12WSB	17	0	55.3061925415	
12WSC	21	0	55.3117358156	
12WSD	34	0	58.7810823381	
12WSM	23	0	63.4904972883	
12ZZX	29	0	56.9856796756	
12ZZY	22	0	56.587410763	
12ZZZ	19	0	60.5247594114	
13111	22	0	58.566966217	
13112	19	0	63.713461	
13113	16	0	63.4315725939	
1313W	28	0	62.4250843397	
1314G	10	0	69.4554113389	
131XE	22	0	63.0680363472	
131XF	23	0	63.9386642358	
131XW	16	0	70.8182117967	
131YS	32	0	56.5458383642	
132AR	23	0	58.6259442107	
133LE	17	0	55.5716029937	
1399R	24	0	61.6437865756	
1399T	20	0	57.165228988	
1399U	24	0	63.6692800068	
139D8	12	0	58.3467179486	
139T4	7	0	53.7116396782	
139T6	18	0	60.2286360116	
139T8	13	0	67.8700319508	
139TU	12	0	58.1374074377	
139YR	21	0	62.0686544972	
13CF2	19	0	67.189865702	
13CF3	22	0	66.9952062389	
13D11	25	0	60.5399468417	
13FH7	22	0	58.8423858886	
13FHO	25	0	53.5958295642	
13FHP	19	0	55.3920838643	
13FTW	24	0	64.5406383061	
13FTY	14	0	59.9668254431	
13G51	26	0	56.186613286	
13IVO	12	0	55.8271380318	
13JUV	20	0	55.786308253	
13JVG	21	0	55.5854880968	
13N11	20	0	55.5305809773	
13N1W	25	0	53.8911509271	
13N2G	23	0	52.4441109582	
13NYS	21	0	55.4393037349	
13NZ8	8	0	53.6893203631	
13NZ9	12	0	51.9043895383	
13NZA	15	0	58.4106692857	
13NZB	11	0	59.5083925743	
13O1R	16	0	60.417398778	
13O21	22	0	57.1749816495	
13O3P	15	0	52.5975734352	
13O3Q	24	0	52.5825250582	
13O61	24	0	56.9212680612	
13OVI	20	0	62.4511740245	
13OVJ	29	0	57.824949068	
13OVL	27	0	61.0028031724	
13OW6	34	0	56.6220692445	
13OW7	21	0	56.6636306923	
13OW8	30	0	62.3009709229	
13PDP	9	0	1086.27955765	
13PLJ	9	0	457.484993802	
13PVQ	26	0	57.6316104279	
13PVR	17	0	60.987984093	
13QBU	23	0	56.132620621	
13QJ3	8	0	54.3071051325	
13RTJ	22	0	55.4719411114	
13S7M	19	0	58.3345974835	
13SLW	17	0	58.8928598555	
13SLX	16	0	56.1405987215	
13U4I	24	0	57.7082747265	
13VXT	22	0	57.2246798258	
13VXU	24	0	57.0029758243	
13W3W	20	0	59.350662049	
13X6K	22	0	54.2309204767	
13YAN	11	0	52.6700166728	
144FL	7	0	59.1383268951	
144GL	19	0	56.4976440774	
144GM	14	0	59.5315546073	
145LS	21	0	53.3384239024	
145LT	16	0	59.8491103786	
145ME	20	0	56.297651078	
145MF	11	0	55.8374408913	
145MI	8	0	52.1147110254	
145MN	17	0	63.7798905228	
145MO	19	0	62.9197691467	
146FH	20	0	56.3483127029	
146FQ	14	0	60.2882861603	
146FR	18	0	60.4262427008	
14753	15	0	60.5018651245	
147F3	11	0	62.7447065392	
147GR	13	0	66.8222340933	
148VI	6	0	85.5147013321	
1497J	13	0	62.5647582846	
14BIL	9	0	72.5728484289	
14BMU	12	0	65.2562510389	
14BMV	12	0	59.3843425113	
14C39	7	0	83.6101445646	
14C5O	9	0	80.7764080523	
14DAR	10	0	64.0032024153	
14E6C	7	0	56.1994903085	
N7MS	23	0	50.9471661756	
NFK9	19	0	61.1963674086	
NL3G	5	0	77.2265637825	
NPJ8	29	0	45.666752274	
O5YT	16	0	56.3616002353	
O5YV	12	0	53.7679852672	
OHPK	15	0	56.4334817032	
OHPM	14	0	60.3995479724	
OHPN	12	0	54.6463936553	
OIZH	17	0	56.0938169297	
OIZI	12	0	47.6677985953	
OOBJ	16	0	59.3844477471	
OOBK	14	0	56.6713487569	
OXRK	15	0	58.6980039122	
OXRL	14	0	53.7721504544	
OXRN	11	0	51.4270127846	
OXRO	9	0	56.3410173496	
OXRP	9	0	61.4972739871	
P44H	17	0	49.4533764032	
P4PP	19	0	61.0943118211	
P4PQ	14	0	58.2321465466	
P4QR	7	0	53.3269271633	
P4QS	16	0	53.3828186834	
P4QT	14	0	52.9301361723	
P78B	18	0	54.5274086048	
PLZ4	11	0	49.5228356539	
PLZ5	13	0	55.8701254629	
PLZ6	17	0	58.485432703	
POMQ	13	0	61.1881658058	
POYW	8	0	51.6196578179	
PSDG	16	0	53.2060130158	
PWCY	18	0	61.580962469	
PWN1	15	0	52.0467308189	
PWOO	17	0	54.915022527	
PX3G	20	0	60.9063209692	
Q2AG	27	0	47.5427269546	
Q2AH	19	0	58.7898162812	
Q2AI	13	0	58.9298443548	
Q734	17	0	61.2113841206	
QCQG	19	0	56.7307434522	
QDT8	23	0	50.7030945283	
QDVJ	16	0	57.5612088633	
QEG4	13	0	54.211277486	
QEG5	17	0	49.8078436866	
QEL4	16	0	53.2595975623	
QESD	12	0	59.4865895975	
