SAMPID	SMTSD
GTEX-1117F-0003-SM-58Q7G	Whole Blood
GTEX-1117F-0003-SM-5DWSB	Whole Blood
GTEX-1117F-0226-SM-5GZZ7	Adipose - Subcutaneous
GTEX-1117F-0426-SM-5EGHI	Muscle - Skeletal
GTEX-1117F-0526-SM-5EGHJ	Artery - Tibial
GTEX-1117F-0626-SM-5N9CS	Artery - Coronary
GTEX-1117F-0726-SM-5GIEN	Heart - Atrial Appendage
GTEX-1117F-1326-SM-5EGHH	Adipose - Visceral (Omentum)
GTEX-1117F-2226-SM-5N9CH	Ovary
GTEX-1117F-2426-SM-5EGGH	Uterus
GTEX-1117F-2526-SM-5GZY6	Vagina
GTEX-1117F-2826-SM-5GZXL	Breast - Mammary Tissue
GTEX-1117F-2926-SM-5GZYI	Skin - Not Sun Exposed (Suprapubic)
GTEX-1117F-3026-SM-5GZYU	Minor Salivary Gland
GTEX-1117F-3226-SM-5N9CT	Brain - Cortex
GTEX-111CU-0003-SM-58Q95	Whole Blood
GTEX-111CU-0003-SM-5DWTR	Whole Blood
GTEX-111CU-0126-SM-5GZWZ	Adrenal Gland
GTEX-111CU-0226-SM-5GZXC	Thyroid
GTEX-111CU-0326-SM-5GZXO	Lung
GTEX-111CU-0426-SM-5GZY1	Spleen
GTEX-111CU-0526-SM-5EGHK	Pancreas
GTEX-111CU-0626-SM-5EGHL	Esophagus - Muscularis
GTEX-111CU-0726-SM-5GZYD	Esophagus - Mucosa
GTEX-111CU-0826-SM-5EGIJ	Esophagus - Gastroesophageal Junction
GTEX-111CU-0926-SM-5EGIK	Stomach
GTEX-111CU-1026-SM-5EGIL	Adipose - Visceral (Omentum)
GTEX-111CU-1126-SM-5EGIM	Skin - Not Sun Exposed (Suprapubic)
GTEX-111CU-1226-SM-5EGIN	Colon - Sigmoid
GTEX-111CU-1326-SM-5NQ8L	Small Intestine - Terminal Ileum
GTEX-111CU-1426-SM-5GZYP	Colon - Transverse
GTEX-111CU-1526-SM-5N9FS	Prostate
GTEX-111CU-1726-SM-5EGHM	Testis
GTEX-111CU-1826-SM-5GZYN	Adipose - Subcutaneous
GTEX-111CU-1926-SM-5GZYZ	Skin - Sun Exposed (Lower leg)
GTEX-111CU-2026-SM-5GZZC	Muscle - Skeletal
GTEX-111CU-2226-SM-5N9G5	Nerve - Tibial
GTEX-111FC-0001-SM-58Q7U	Whole Blood
GTEX-111FC-0001-SM-5DWSO	Whole Blood
GTEX-111FC-0126-SM-5N9DL	Skin - Sun Exposed (Lower leg)
GTEX-111FC-0226-SM-5N9B8	Adipose - Subcutaneous
GTEX-111FC-0326-SM-5GZZ1	Muscle - Skeletal
GTEX-111FC-0426-SM-5N9CV	Artery - Tibial
GTEX-111FC-0526-SM-5GZZ8	Nerve - Tibial
GTEX-111FC-0626-SM-5N9CU	Heart - Atrial Appendage
