# Sample_ID	Tissue_General	Tissue_Specific
GTEX-111CU-1826-SM-5GZYN	Adipose Tissue	Adipose - Subcutaneous
GTEX-111FC-0226-SM-5N9B8	Adipose Tissue	Adipose - Subcutaneous
GTEX-111VG-2326-SM-5N9BK	Adipose Tissue	Adipose - Subcutaneous
GTEX-111YS-2426-SM-5GZZQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-1122O-2026-SM-5NQ91	Adipose Tissue	Adipose - Subcutaneous
GTEX-1128S-2126-SM-5H12U	Adipose Tissue	Adipose - Subcutaneous
GTEX-113IC-0226-SM-5HL5C	Adipose Tissue	Adipose - Subcutaneous
GTEX-117YX-2226-SM-5EGJJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DXW-0326-SM-5H11W	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DXX-2326-SM-5Q5A2	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DZ1-0226-SM-5A5KF	Adipose Tissue	Adipose - Subcutaneous
GTEX-11EI6-0226-SM-5EQ64	Adipose Tissue	Adipose - Subcutaneous
GTEX-11EM3-2326-SM-5H12B	Adipose Tissue	Adipose - Subcutaneous
GTEX-11EMC-2826-SM-5PNY6	Adipose Tissue	Adipose - Subcutaneous
GTEX-11EQ8-0226-SM-5EQ5G	Adipose Tissue	Adipose - Subcutaneous
GTEX-11EQ9-2526-SM-5HL66	Adipose Tissue	Adipose - Subcutaneous
GTEX-11GS4-2626-SM-5A5LD	Adipose Tissue	Adipose - Subcutaneous
GTEX-11GSO-2326-SM-5A5LX	Adipose Tissue	Adipose - Subcutaneous
GTEX-11H98-0226-SM-5NQ89	Adipose Tissue	Adipose - Subcutaneous
GTEX-11I78-2626-SM-5Q5AI	Adipose Tissue	Adipose - Subcutaneous
GTEX-11LCK-1126-SM-5A5KC	Adipose Tissue	Adipose - Subcutaneous
GTEX-11O72-0226-SM-59869	Adipose Tissue	Adipose - Subcutaneous
GTEX-11OF3-2426-SM-5Q5AS	Adipose Tissue	Adipose - Subcutaneous
GTEX-11ONC-2526-SM-5986W	Adipose Tissue	Adipose - Subcutaneous
GTEX-11P7K-2026-SM-5GU74	Adipose Tissue	Adipose - Subcutaneous
GTEX-11P81-2426-SM-5GU65	Adipose Tissue	Adipose - Subcutaneous
GTEX-11P82-1726-SM-5Q5AT	Adipose Tissue	Adipose - Subcutaneous
GTEX-11PRG-0626-SM-5BC56	Adipose Tissue	Adipose - Subcutaneous
GTEX-11TTK-0226-SM-5N9EC	Adipose Tissue	Adipose - Subcutaneous
GTEX-11TUW-2626-SM-5EQKZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-11UD1-0226-SM-5EQKL	Adipose Tissue	Adipose - Subcutaneous
GTEX-11UD2-0126-SM-5EQL2	Adipose Tissue	Adipose - Subcutaneous
GTEX-11WQC-2426-SM-5EQKQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-11XUK-2126-SM-5EQLR	Adipose Tissue	Adipose - Subcutaneous
GTEX-11ZTS-0226-SM-5EQKD	Adipose Tissue	Adipose - Subcutaneous
GTEX-11ZTT-2526-SM-5EQM9	Adipose Tissue	Adipose - Subcutaneous
GTEX-11ZU8-2426-SM-5EQMV	Adipose Tissue	Adipose - Subcutaneous
GTEX-11ZUS-0726-SM-59886	Adipose Tissue	Adipose - Subcutaneous
GTEX-11ZVC-2626-SM-5FQTA	Adipose Tissue	Adipose - Subcutaneous
GTEX-1211K-2226-SM-5FQU6	Adipose Tissue	Adipose - Subcutaneous
GTEX-12126-0426-SM-5Q5AP	Adipose Tissue	Adipose - Subcutaneous
GTEX-1212Z-2426-SM-5EQ5D	Adipose Tissue	Adipose - Subcutaneous
GTEX-12584-0226-SM-5EQL5	Adipose Tissue	Adipose - Subcutaneous
GTEX-12696-2526-SM-5EQLN	Adipose Tissue	Adipose - Subcutaneous
GTEX-1269C-2726-SM-5EGJ4	Adipose Tissue	Adipose - Subcutaneous
GTEX-12C56-1626-SM-5FQUO	Adipose Tissue	Adipose - Subcutaneous
GTEX-12KS4-0426-SM-5EQMC	Adipose Tissue	Adipose - Subcutaneous
GTEX-12WSA-0326-SM-5BC6I	Adipose Tissue	Adipose - Subcutaneous
GTEX-12WSB-0226-SM-5GCOR	Adipose Tissue	Adipose - Subcutaneous
GTEX-12WSC-0226-SM-5EQ52	Adipose Tissue	Adipose - Subcutaneous
GTEX-12WSD-0226-SM-59HKO	Adipose Tissue	Adipose - Subcutaneous
GTEX-12WSM-0226-SM-5LZV6	Adipose Tissue	Adipose - Subcutaneous
GTEX-12ZZX-0226-SM-5DUXU	Adipose Tissue	Adipose - Subcutaneous
GTEX-12ZZY-0326-SM-5LZVQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-12ZZZ-0526-SM-5DUX6	Adipose Tissue	Adipose - Subcutaneous
GTEX-13111-1726-SM-5EGJZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-13112-2726-SM-5DUW5	Adipose Tissue	Adipose - Subcutaneous
GTEX-13113-1826-SM-5LZW4	Adipose Tissue	Adipose - Subcutaneous
GTEX-1313W-0226-SM-5LZV7	Adipose Tissue	Adipose - Subcutaneous
GTEX-1314G-1626-SM-5EQ67	Adipose Tissue	Adipose - Subcutaneous
GTEX-131XE-2426-SM-5EQ5V	Adipose Tissue	Adipose - Subcutaneous
GTEX-131XF-2226-SM-5EQKG	Adipose Tissue	Adipose - Subcutaneous
GTEX-131XW-0526-SM-5PNXZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-131YS-0226-SM-5IJEH	Adipose Tissue	Adipose - Subcutaneous
GTEX-132AR-0226-SM-5IJBE	Adipose Tissue	Adipose - Subcutaneous
GTEX-133LE-1926-SM-5N9FV	Adipose Tissue	Adipose - Subcutaneous
GTEX-1399R-2626-SM-5KLZ7	Adipose Tissue	Adipose - Subcutaneous
GTEX-1399T-2726-SM-5K7XK	Adipose Tissue	Adipose - Subcutaneous
GTEX-1399U-2426-SM-5K7XB	Adipose Tissue	Adipose - Subcutaneous
GTEX-139D8-0326-SM-5IJCJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-139T4-0126-SM-5HL5G	Adipose Tissue	Adipose - Subcutaneous
GTEX-139T6-2126-SM-5KM37	Adipose Tissue	Adipose - Subcutaneous
GTEX-139T8-0226-SM-5L3EA	Adipose Tissue	Adipose - Subcutaneous
GTEX-139TU-0226-SM-5J1NM	Adipose Tissue	Adipose - Subcutaneous
GTEX-139YR-2426-SM-5J1OB	Adipose Tissue	Adipose - Subcutaneous
GTEX-13CF2-2626-SM-5LZZA	Adipose Tissue	Adipose - Subcutaneous
GTEX-13CF3-2326-SM-5IFGL	Adipose Tissue	Adipose - Subcutaneous
GTEX-13D11-2326-SM-5IJCY	Adipose Tissue	Adipose - Subcutaneous
GTEX-13FH7-2226-SM-5IJD4	Adipose Tissue	Adipose - Subcutaneous
GTEX-13FHO-0326-SM-5IJBH	Adipose Tissue	Adipose - Subcutaneous
GTEX-13FHP-0226-SM-5K7WD	Adipose Tissue	Adipose - Subcutaneous
GTEX-13FTW-2526-SM-5IJC8	Adipose Tissue	Adipose - Subcutaneous
GTEX-13FTY-0626-SM-5L3F8	Adipose Tissue	Adipose - Subcutaneous
GTEX-13G51-2626-SM-5LZYW	Adipose Tissue	Adipose - Subcutaneous
GTEX-13IVO-0226-SM-5LZXU	Adipose Tissue	Adipose - Subcutaneous
GTEX-13JUV-2826-SM-5LZWU	Adipose Tissue	Adipose - Subcutaneous
GTEX-13JVG-0226-SM-5J1MW	Adipose Tissue	Adipose - Subcutaneous
GTEX-13N11-2626-SM-5K7UQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-13N1W-0226-SM-5K7W6	Adipose Tissue	Adipose - Subcutaneous
GTEX-13N2G-2726-SM-5J1MG	Adipose Tissue	Adipose - Subcutaneous
GTEX-13NYS-0226-SM-5MR49	Adipose Tissue	Adipose - Subcutaneous
GTEX-13NZ8-0926-SM-5MR3U	Adipose Tissue	Adipose - Subcutaneous
GTEX-13NZ9-0526-SM-5J1OX	Adipose Tissue	Adipose - Subcutaneous
GTEX-13NZA-0126-SM-5K7UH	Adipose Tissue	Adipose - Subcutaneous
GTEX-13NZB-2426-SM-5K7UF	Adipose Tissue	Adipose - Subcutaneous
GTEX-13O1R-0226-SM-5K7U5	Adipose Tissue	Adipose - Subcutaneous
GTEX-13O21-1526-SM-5K7W4	Adipose Tissue	Adipose - Subcutaneous
GTEX-13O3P-0226-SM-5KM3Z	Adipose Tissue	Adipose - Subcutaneous
GTEX-13O3Q-2326-SM-5KM3G	Adipose Tissue	Adipose - Subcutaneous
GTEX-13O61-2426-SM-5J1NV	Adipose Tissue	Adipose - Subcutaneous
GTEX-13OVI-1326-SM-5IJBO	Adipose Tissue	Adipose - Subcutaneous
GTEX-13OVJ-0326-SM-5L3GL	Adipose Tissue	Adipose - Subcutaneous
GTEX-13OVL-0326-SM-5IJCS	Adipose Tissue	Adipose - Subcutaneous
GTEX-13OW6-0526-SM-5L3HY	Adipose Tissue	Adipose - Subcutaneous
GTEX-13OW7-0226-SM-5MR3N	Adipose Tissue	Adipose - Subcutaneous
GTEX-13OW8-1226-SM-5K7XD	Adipose Tissue	Adipose - Subcutaneous
GTEX-13PDP-0226-SM-5K7W9	Adipose Tissue	Adipose - Subcutaneous
GTEX-13PLJ-0126-SM-5L3HU	Adipose Tissue	Adipose - Subcutaneous
GTEX-13PVQ-0226-SM-5SIBG	Adipose Tissue	Adipose - Subcutaneous
GTEX-13PVR-2426-SM-5RQHN	Adipose Tissue	Adipose - Subcutaneous
GTEX-13QBU-2526-SM-5LU4X	Adipose Tissue	Adipose - Subcutaneous
GTEX-13QJ3-0426-SM-5RQHP	Adipose Tissue	Adipose - Subcutaneous
GTEX-13RTJ-2526-SM-5S2Q3	Adipose Tissue	Adipose - Subcutaneous
GTEX-13S7M-0226-SM-5S2UG	Adipose Tissue	Adipose - Subcutaneous
GTEX-13SLW-0226-SM-5S2NA	Adipose Tissue	Adipose - Subcutaneous
GTEX-13SLX-0426-SM-5QGRC	Adipose Tissue	Adipose - Subcutaneous
GTEX-13U4I-0226-SM-5SIB1	Adipose Tissue	Adipose - Subcutaneous
GTEX-13VXT-0226-SM-5LU9Q	Adipose Tissue	Adipose - Subcutaneous
GTEX-13VXU-0226-SM-5SI9R	Adipose Tissue	Adipose - Subcutaneous
GTEX-13W3W-2526-SM-5SI9P	Adipose Tissue	Adipose - Subcutaneous
GTEX-13X6K-0226-SM-5QGPB	Adipose Tissue	Adipose - Subcutaneous
GTEX-13YAN-0426-SM-5O9DR	Adipose Tissue	Adipose - Subcutaneous
GTEX-144FL-0226-SM-5Q5D4	Adipose Tissue	Adipose - Subcutaneous
GTEX-144GL-0226-SM-5QGOX	Adipose Tissue	Adipose - Subcutaneous
GTEX-144GM-1926-SM-5LUAN	Adipose Tissue	Adipose - Subcutaneous
GTEX-145LS-0226-SM-5O9A5	Adipose Tissue	Adipose - Subcutaneous
GTEX-145LT-1826-SM-5QGP4	Adipose Tissue	Adipose - Subcutaneous
GTEX-145ME-1926-SM-5SI9S	Adipose Tissue	Adipose - Subcutaneous
GTEX-145MF-0526-SM-5LUA6	Adipose Tissue	Adipose - Subcutaneous
GTEX-145MI-0426-SM-5O99V	Adipose Tissue	Adipose - Subcutaneous
GTEX-145MN-2626-SM-5NQAH	Adipose Tissue	Adipose - Subcutaneous
GTEX-145MO-0426-SM-5QGP6	Adipose Tissue	Adipose - Subcutaneous
GTEX-146FH-0226-SM-5QGPQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-146FQ-0226-SM-5NQAL	Adipose Tissue	Adipose - Subcutaneous
GTEX-146FR-1826-SM-5QGPF	Adipose Tissue	Adipose - Subcutaneous
GTEX-14753-0326-SM-5QGQB	Adipose Tissue	Adipose - Subcutaneous
GTEX-147F3-0626-SM-5NQ9I	Adipose Tissue	Adipose - Subcutaneous
GTEX-147GR-0426-SM-5S2OL	Adipose Tissue	Adipose - Subcutaneous
GTEX-148VI-1726-SM-5S2W9	Adipose Tissue	Adipose - Subcutaneous
GTEX-1497J-2326-SM-5NQBK	Adipose Tissue	Adipose - Subcutaneous
GTEX-14BIL-0226-SM-5SI9E	Adipose Tissue	Adipose - Subcutaneous
GTEX-14BMU-2126-SM-5S2TS	Adipose Tissue	Adipose - Subcutaneous
GTEX-14BMV-0226-SM-5S2N2	Adipose Tissue	Adipose - Subcutaneous
GTEX-14C39-2526-SM-5S2UH	Adipose Tissue	Adipose - Subcutaneous
GTEX-14C5O-0226-SM-5SI6O	Adipose Tissue	Adipose - Subcutaneous
GTEX-14DAR-1926-SM-5S2NQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-14E6C-0226-SM-5S2N3	Adipose Tissue	Adipose - Subcutaneous
GTEX-N7MS-0326-SM-4E3K2	Adipose Tissue	Adipose - Subcutaneous
GTEX-NFK9-0326-SM-3MJGV	Adipose Tissue	Adipose - Subcutaneous
GTEX-NL3G-0226-SM-4RGLU	Adipose Tissue	Adipose - Subcutaneous
GTEX-NPJ8-0226-SM-48TBN	Adipose Tissue	Adipose - Subcutaneous
GTEX-O5YT-0226-SM-32PK5	Adipose Tissue	Adipose - Subcutaneous
GTEX-O5YV-0226-SM-48TBY	Adipose Tissue	Adipose - Subcutaneous
GTEX-OHPK-0226-SM-3MJH6	Adipose Tissue	Adipose - Subcutaneous
GTEX-OHPM-0226-SM-3LK61	Adipose Tissue	Adipose - Subcutaneous
GTEX-OHPN-0226-SM-48TBV	Adipose Tissue	Adipose - Subcutaneous
GTEX-OIZH-0226-SM-2YUMH	Adipose Tissue	Adipose - Subcutaneous
GTEX-OIZI-0226-SM-2XCEE	Adipose Tissue	Adipose - Subcutaneous
GTEX-OOBJ-0226-SM-2YUMM	Adipose Tissue	Adipose - Subcutaneous
GTEX-OOBK-0226-SM-2YUMF	Adipose Tissue	Adipose - Subcutaneous
GTEX-OXRK-0326-SM-3NB3R	Adipose Tissue	Adipose - Subcutaneous
GTEX-OXRL-0226-SM-3NB18	Adipose Tissue	Adipose - Subcutaneous
GTEX-OXRN-0226-SM-2I5EJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-OXRO-0226-SM-3LK6F	Adipose Tissue	Adipose - Subcutaneous
GTEX-OXRP-0226-SM-3NB14	Adipose Tissue	Adipose - Subcutaneous
GTEX-P44H-0326-SM-2XCES	Adipose Tissue	Adipose - Subcutaneous
GTEX-P4PP-0226-SM-5S2VR	Adipose Tissue	Adipose - Subcutaneous
GTEX-P4PQ-0226-SM-2S1NK	Adipose Tissue	Adipose - Subcutaneous
GTEX-P4QR-0426-SM-2S1NV	Adipose Tissue	Adipose - Subcutaneous
GTEX-P4QS-0226-SM-3NB1U	Adipose Tissue	Adipose - Subcutaneous
GTEX-P4QT-0226-SM-3LK68	Adipose Tissue	Adipose - Subcutaneous
GTEX-P78B-0226-SM-3NB1Z	Adipose Tissue	Adipose - Subcutaneous
GTEX-PLZ4-0226-SM-5SI7M	Adipose Tissue	Adipose - Subcutaneous
GTEX-PLZ5-1826-SM-3NB22	Adipose Tissue	Adipose - Subcutaneous
