# Sample Index	Sample ID
0	GTEX-111CU-1826-SM-5GZYN
1	GTEX-111FC-0226-SM-5N9B8
2	GTEX-111VG-2326-SM-5N9BK
3	GTEX-111YS-2426-SM-5GZZQ
4	GTEX-1122O-2026-SM-5NQ91
5	GTEX-1128S-2126-SM-5H12U
6	GTEX-113IC-0226-SM-5HL5C
7	GTEX-117YX-2226-SM-5EGJJ
8	GTEX-11DXW-0326-SM-5H11W
9	GTEX-11DXX-2326-SM-5Q5A2
10	GTEX-11DZ1-0226-SM-5A5KF
11	GTEX-11EI6-0226-SM-5EQ64
12	GTEX-11EM3-2326-SM-5H12B
13	GTEX-11EMC-2826-SM-5PNY6
14	GTEX-11EQ8-0226-SM-5EQ5G
15	GTEX-11EQ9-2526-SM-5HL66
16	GTEX-11GS4-2626-SM-5A5LD
17	GTEX-11GSO-2326-SM-5A5LX
18	GTEX-11H98-0226-SM-5NQ89
19	GTEX-11I78-2626-SM-5Q5AI
20	GTEX-11LCK-1126-SM-5A5KC
21	GTEX-11O72-0226-SM-59869
22	GTEX-11OF3-2426-SM-5Q5AS
23	GTEX-11ONC-2526-SM-5986W
24	GTEX-11P7K-2026-SM-5GU74
25	GTEX-11P81-2426-SM-5GU65
26	GTEX-11P82-1726-SM-5Q5AT
27	GTEX-11PRG-0626-SM-5BC56
28	GTEX-11TTK-0226-SM-5N9EC
29	GTEX-11TUW-2626-SM-5EQKZ
30	GTEX-11UD1-0226-SM-5EQKL
31	GTEX-11UD2-0126-SM-5EQL2
32	GTEX-11WQC-2426-SM-5EQKQ
33	GTEX-11XUK-2126-SM-5EQLR
34	GTEX-11ZTS-0226-SM-5EQKD
35	GTEX-11ZTT-2526-SM-5EQM9
36	GTEX-11ZU8-2426-SM-5EQMV
37	GTEX-11ZUS-0726-SM-59886
38	GTEX-11ZVC-2626-SM-5FQTA
39	GTEX-1211K-2226-SM-5FQU6
40	GTEX-12126-0426-SM-5Q5AP
41	GTEX-1212Z-2426-SM-5EQ5D
42	GTEX-12584-0226-SM-5EQL5
43	GTEX-12696-2526-SM-5EQLN
44	GTEX-1269C-2726-SM-5EGJ4
45	GTEX-12C56-1626-SM-5FQUO
46	GTEX-12KS4-0426-SM-5EQMC
47	GTEX-12WSA-0326-SM-5BC6I
48	GTEX-12WSB-0226-SM-5GCOR
49	GTEX-12WSC-0226-SM-5EQ52
50	GTEX-12WSD-0226-SM-59HKO
51	GTEX-12WSM-0226-SM-5LZV6
52	GTEX-12ZZX-0226-SM-5DUXU
53	GTEX-12ZZY-0326-SM-5LZVQ
54	GTEX-12ZZZ-0526-SM-5DUX6
55	GTEX-13111-1726-SM-5EGJZ
56	GTEX-13112-2726-SM-5DUW5
57	GTEX-13113-1826-SM-5LZW4
58	GTEX-1313W-0226-SM-5LZV7
59	GTEX-1314G-1626-SM-5EQ67
60	GTEX-131XE-2426-SM-5EQ5V
61	GTEX-131XF-2226-SM-5EQKG
62	GTEX-131XW-0526-SM-5PNXZ
63	GTEX-131YS-0226-SM-5IJEH
64	GTEX-132AR-0226-SM-5IJBE
65	GTEX-133LE-1926-SM-5N9FV
66	GTEX-1399R-2626-SM-5KLZ7
67	GTEX-1399T-2726-SM-5K7XK
68	GTEX-1399U-2426-SM-5K7XB
69	GTEX-139D8-0326-SM-5IJCJ
70	GTEX-139T4-0126-SM-5HL5G
71	GTEX-139T6-2126-SM-5KM37
72	GTEX-139T8-0226-SM-5L3EA
73	GTEX-139TU-0226-SM-5J1NM
74	GTEX-139YR-2426-SM-5J1OB
75	GTEX-13CF2-2626-SM-5LZZA
76	GTEX-13CF3-2326-SM-5IFGL
77	GTEX-13D11-2326-SM-5IJCY
78	GTEX-13FH7-2226-SM-5IJD4
79	GTEX-13FHO-0326-SM-5IJBH
80	GTEX-13FHP-0226-SM-5K7WD
81	GTEX-13FTW-2526-SM-5IJC8
