# Sample Index	Sample ID
577	GTEX-11GSP-0011-R11b-SM-5NQ7V
578	GTEX-11H98-0011-R11b-SM-5NQ6U
579	GTEX-11OF3-0011-R11a-SM-57WCR
580	GTEX-11WQC-0011-R11b-SM-57WD6
581	GTEX-11ZUS-0011-R11b-SM-5BC7B
582	GTEX-12126-0011-R11a-SM-5BC6X
583	GTEX-12WSB-0011-R11b-SM-57WBJ
584	GTEX-12WSC-0011-R11a-SM-5GU5J
585	GTEX-12WSE-0011-R11b-SM-5P9JW
586	GTEX-12WSF-0011-R11a-SM-5LZVT
587	GTEX-12WSH-0011-R11a-SM-5LZVM
588	GTEX-12WSI-0011-R11b-SM-5P9EZ
589	GTEX-12WSM-0011-R11a-SM-5DUX8
590	GTEX-12ZZX-0011-R11a-SM-5DUVJ
591	GTEX-12ZZZ-0011-R11a-SM-5EGLC
592	GTEX-1313W-0011-R11a-SM-5DUXN
593	GTEX-131XH-0011-R11a-SM-5EGLN
594	GTEX-131XW-0011-R11a-SM-5DUV9
595	GTEX-131YS-0011-R11b-SM-5EGLM
596	GTEX-132Q8-0011-R11b-SM-5DUW9
597	GTEX-1399T-0011-R11a-SM-5J2O1
598	GTEX-139TT-0011-R11b-SM-5LZV1
599	GTEX-139UW-0011-R11a-SM-5IJGN
600	GTEX-13CF2-0011-R11b-SM-5LZXO
601	GTEX-13CZV-0011-R11b-SM-5N9FN
602	GTEX-13FHO-0011-R11b-SM-5LZYQ
603	GTEX-13FHP-0011-R11b-SM-5LZXP
604	GTEX-13FLV-0011-R11a-SM-5LZZ7
605	GTEX-13FTY-0011-R11a-SM-5IJEA
606	GTEX-13FXS-0011-R11a-SM-5L3DM
607	GTEX-13G51-0011-R11b-SM-5J2NE
608	GTEX-13JUV-0011-R11a-SM-5LZYH
609	GTEX-13JVG-0011-R11a-SM-5KM53
610	GTEX-13N2G-0011-R11a-SM-5MR3F
611	GTEX-13NYB-0011-R11a-SM-5KM3Q
612	GTEX-13NYS-0011-R11b-SM-5MR4P
613	GTEX-13NZA-0011-R11b-SM-5KM4W
