# Sample Index	Sample ID
2833	GTEX-111CU-0726-SM-5GZYD
2834	GTEX-111YS-0926-SM-5EGGI
2835	GTEX-1122O-1726-SM-5GICM
2836	GTEX-117YW-1926-SM-5H121
2837	GTEX-117YX-1626-SM-5GZZG
2838	GTEX-11DXX-1126-SM-5GZZK
2839	GTEX-11DXY-1426-SM-5N9CN
2840	GTEX-11DXZ-1226-SM-5H11L
2841	GTEX-11DYG-1326-SM-5N9DO
2842	GTEX-11DZ1-2026-SM-5A5KG
2843	GTEX-11EM3-0826-SM-5N9CC
2844	GTEX-11EMC-2226-SM-5A5JW
2845	GTEX-11EQ9-0726-SM-5A5K2
2846	GTEX-11GSP-1826-SM-5N9DQ
2847	GTEX-11I78-1526-SM-5A5K7
2848	GTEX-11LCK-1726-SM-5S2OQ
2849	GTEX-11NSD-1126-SM-5N9BQ
2850	GTEX-11NUK-1326-SM-5P9GN
2851	GTEX-11ONC-1526-SM-5GU6S
2852	GTEX-11P7K-1326-SM-5BC5G
2853	GTEX-11P81-0826-SM-5P9GR
2854	GTEX-11P82-0526-SM-5986P
2855	GTEX-11TT1-0526-SM-5P9JO
2856	GTEX-11TUW-1326-SM-5EQKV
2857	GTEX-11VI4-0526-SM-5EQ48
2858	GTEX-11XUK-0826-SM-5GU6P
2859	GTEX-11ZTS-2626-SM-5EGIC
2860	GTEX-11ZU8-1526-SM-5EGHX
2861	GTEX-1211K-0926-SM-5FQTL
2862	GTEX-1212Z-2126-SM-5FQTM
2863	GTEX-12696-1326-SM-5FQTJ
2864	GTEX-12BJ1-1626-SM-5HL8Y
2865	GTEX-12C56-1226-SM-5FQSU
2866	GTEX-12KS4-0926-SM-5BC5S
2867	GTEX-12WSA-1426-SM-5EGJU
2868	GTEX-12WSD-1826-SM-5GCOA
2869	GTEX-12WSK-1126-SM-5LZV8
2870	GTEX-12WSL-1526-SM-5GCP8
2871	GTEX-12ZZW-1726-SM-5DUVD
2872	GTEX-12ZZX-1326-SM-5DUWI
2873	GTEX-12ZZY-1426-SM-5N9EI
2874	GTEX-13111-0826-SM-5LZV3
2875	GTEX-131XE-1426-SM-5HL7V
2876	GTEX-131XF-0826-SM-5GICG
2877	GTEX-131XG-1026-SM-5GCMX
2878	GTEX-131YS-1426-SM-5IJF7
2879	GTEX-132AR-2226-SM-5J2NT
