# Sample Index	Sample ID
5880	GTEX-1117F-2926-SM-5GZYI
5881	GTEX-111CU-1126-SM-5EGIM
5882	GTEX-111VG-1626-SM-5EGIO
5883	GTEX-111YS-1526-SM-5GZYW
5884	GTEX-117YX-1926-SM-5GIEC
5885	GTEX-1192X-2726-SM-5N9DN
5886	GTEX-11DXW-0826-SM-5H118
5887	GTEX-11DXX-2126-SM-5PNYR
5888	GTEX-11DXY-0126-SM-5H11Q
5889	GTEX-11DXZ-2026-SM-5987S
5890	GTEX-11DYG-1526-SM-5A5JS
5891	GTEX-11DZ1-2426-SM-5GZZX
5892	GTEX-11EI6-2826-SM-5H11D
5893	GTEX-11EM3-1226-SM-5N9DD
5894	GTEX-11EQ8-0926-SM-5H12V
5895	GTEX-11EQ9-1626-SM-5PNY8
5896	GTEX-11GS4-0226-SM-5HL77
5897	GTEX-11GSP-2326-SM-5HL63
5898	GTEX-11LCK-2226-SM-5HL4Q
5899	GTEX-11NSD-0626-SM-5A5LU
5900	GTEX-11NUK-2726-SM-5A5MC
5901	GTEX-11O72-0626-SM-5PNYE
5902	GTEX-11OF3-0126-SM-5PNYF
5903	GTEX-11P7K-1126-SM-5HL4L
5904	GTEX-11P81-2226-SM-5PNYI
5905	GTEX-11P82-1426-SM-5BC5L
5906	GTEX-11PRG-0726-SM-5EGL1
5907	GTEX-11TT1-1826-SM-5EQLV
5908	GTEX-11TUW-0626-SM-5LU9M
5909	GTEX-11UD2-2526-SM-5CVNU
5910	GTEX-11VI4-1126-SM-5EQMD
5911	GTEX-11WQC-1826-SM-5GU59
5912	GTEX-11WQK-1026-SM-5EQLX
5913	GTEX-11ZTT-2126-SM-5CVLO
5914	GTEX-11ZU8-0126-SM-5EQ58
5915	GTEX-11ZUS-2626-SM-5FQUR
5916	GTEX-1211K-1526-SM-5FQU4
5917	GTEX-12126-0826-SM-5FQTZ
5918	GTEX-1212Z-0126-SM-59HK4
5919	GTEX-12584-0726-SM-5FQTK
5920	GTEX-12696-0126-SM-5EQ4L
